,species,decimalLongitude,decimalLatitude,country
1513,Ayenia micrantha,-104.99167,19.383329999999997,Mexico
1514,Ayenia blanchetiana,-41.8,-13.3,Brazil
1515,Ayenia blanchetiana,-41.8,-13.3,Brazil
1516,Ayenia blanchetiana,-41.85,-13.283332999999999,Brazil
1517,Ayenia blanchetiana,-41.8,-13.3,Brazil
1518,Ayenia blanchetiana,-41.8,-13.3,Brazil
1519,Ayenia blanchetiana,-41.85,-13.283332999999999,Brazil
1520,Ayenia tomentosa,-57.583332999999996,-25.5,Paraguay
1521,Ayenia jaliscana,-110.969,31.6877,United States of America
1522,Ayenia blanchetiana,-41.85,-13.018611,Brazil
1523,Ayenia blanchetiana,-41.8,-13.3,Brazil
1524,Ayenia jaliscana,-110.969,31.6877,United States of America
1525,Ayenia saligna,-74.5,6.616667,Colombia
1526,Ayenia tomentosa,-56.433333,-18.916667,Brazil
1527,Ayenia blanchetiana,-43.966667,-17.85,Brazil
1528,Ayenia angustifolia,-43.766667,-18.116667,Brazil
1529,Ayenia wygodzinskyi,-43.766667,-18.116667,Brazil
1530,Ayenia krapovickasii,-43.966667,-17.85,Brazil
1531,Ayenia angustifolia,-44.283333,-17.7,Brazil
1532,Ayenia angustifolia,-43.583333,-19.333333,Brazil
1533,Ayenia krapovickasii,-57.2,-25.133329999999997,Paraguay
1534,Ayenia angustifolia,-43.583333,-19.333333,Brazil
1535,Ayenia rotundifolia,-100.033333,21.321667,Mexico
1536,Ayenia rotundifolia,-100.061667,21.466667,Mexico
1537,Ayenia angustifolia,-42.966667,-16.6,Brazil
1538,Ayenia pusilla,-88.958333,21.025,Mexico
1539,Ayenia wrightii,-96.891667,16.258333,Mexico
1540,Ayenia micrantha,-89.266667,13.833332999999998,El Salvador
1541,Ayenia krapovickasii,-57.25,-25.133329999999997,Paraguay
1542,Ayenia micrantha,-93.11,16.75,Mexico
1543,Ayenia glabra,-104.61666,22.2,Mexico
1544,Ayenia mollis,-98.810833,18.314444,Mexico
1545,Ayenia micrantha,-93.116667,16.75,Mexico
1546,Ayenia micrantha,-89.26666999999999,13.833329999999998,El Salvador
1547,Ayenia ovata,-97.225,18.191667000000002,Mexico
1548,Ayenia ovata,-97.458333,18.341667,Mexico
1549,Ayenia ovata,-97.30833299999999,18.508333,Mexico
1550,Ayenia rotundifolia,-98.741667,20.308332999999998,Mexico
1551,Ayenia mollis,-98.843333,18.32,Mexico
1552,Ayenia mollis,-98.843333,18.32,Mexico
1553,Ayenia ovata,-97.46226046402262,18.33014688748638,Mexico
1554,Ayenia ovata,-97.29076806257844,18.534598651009947,Mexico
1555,Ayenia ovata,-97.22336899999999,18.173503,Mexico
1556,Ayenia pusilla,-104.625,22.208333,Mexico
1557,Ayenia glabra,-104.625,22.208333,Mexico
1558,Ayenia mollis,-98.754722,18.340833,Mexico
1559,Ayenia mollis,-98.7875,18.328332999999997,Mexico
1560,Ayenia rotundifolia,-98.387778,20.800832999999997,Mexico
1561,Ayenia rotundifolia,-98.589722,20.506944,Mexico
1562,Ayenia mollis,-97.383333,18.45,Mexico
1563,Ayenia micrantha,-83.333333,8.95,Costa Rica
1564,Ayenia micrantha,-83.33,8.95,Costa Rica
1565,Ayenia mollis,-98.773889,18.342778,Mexico
1566,Ayenia glabra,-110.04166699999999,23.508333,Mexico
1567,Ayenia wrightii,-105.60138899999998,22.7,Mexico
1568,Ayenia glabra,-110.03333,23.5,Mexico
1569,Ayenia jaliscana,-110.18875,24.2537,Mexico
1570,Ayenia micrantha,-83.33,8.95,Costa Rica
1571,Ayenia angustifolia,-42.916667,-16.6,Brazil
1572,Ayenia angustifolia,-42.916667,-16.6,Brazil
1573,Ayenia jaliscana,-98.985833,18.35,Mexico
1574,Ayenia micrantha,-99.648611,16.736389000000003,Mexico
1575,Ayenia filiformis,-110.959667,31.684603000000003,United States of America
1576,Ayenia filiformis,-110.95200000000001,31.6877,United States of America
1577,Ayenia pusilla,-96.991667,17.791667,Mexico
1578,Ayenia ovata,-96.991667,17.791667,Mexico
1579,Ayenia berlandieri,-99.611944,17.754722,Mexico
1580,Ayenia jaliscana,-98.956389,18.335556,Mexico
1581,Ayenia filiformis,-110.988,33.1411,United States of America
1582,Ayenia filiformis,-110.92,33.1122,United States of America
1583,Ayenia filiformis,-110.95200000000001,31.6877,United States of America
1584,Ayenia tomentosa,-56.65,-18.983333,Brazil
1585,Ayenia rotundifolia,-100.05555600000001,21.298610999999998,Mexico
1586,Ayenia ovata,-99.590556,17.833333,Mexico
1587,Ayenia ovata,-99.625,17.825,Mexico
1588,Ayenia mirandae,-99.638611,17.812778,Mexico
1589,Ayenia mirandae,-99.67277800000001,17.844722,Mexico
1590,Ayenia rotundifolia,-100.045,21.43,Mexico
1591,Ayenia rotundifolia,-100.045278,21.307778,Mexico
1592,Ayenia magna,-75.50224200000001,10.301511,Colombia
1593,Ayenia magna,-71.33,8.42,"Venezuela, Bolivarian Republic of"
1594,Ayenia magna,-71.33,8.42,"Venezuela, Bolivarian Republic of"
1595,Ayenia magna,-71.33,8.42,"Venezuela, Bolivarian Republic of"
1596,Ayenia ovata,-97.025,17.808332999999998,Mexico
1597,Ayenia jaliscana,-110.058333,23.508333,Mexico
1598,Ayenia jaliscana,-110.058333,23.508333,Mexico
1599,Ayenia compacta,-109.975,23.491667,Mexico
1600,Ayenia filiformis,-109.3556,27.077779999999997,Mexico
1601,Ayenia filiformis,-109.35556000000001,27.077779999999997,Mexico
1602,Ayenia peninsularis,-109.96667,23.5,Mexico
1603,Ayenia jaliscana,-110.03996000000001,23.50086,Mexico
1604,Ayenia glabra,-104.443178,22.304553,Mexico
1605,Ayenia tomentosa,-63.166667000000004,-17.633333,"Bolivia, Plurinational State of"
1606,Ayenia tomentosa,-56.5,-24.25,Paraguay
1607,Ayenia tomentosa,-56.833330000000004,-26.05,Paraguay
1608,Ayenia angustifolia,-45.2,-12.466666,Brazil
1609,Ayenia angustifolia,-45.466666,-11.121388,Brazil
1610,Ayenia angustifolia,-45.2,-12.47,Brazil
1611,Ayenia angustifolia,-45.47,-11.1214,Brazil
1612,Ayenia luyensis,-78.355,-6.181,Peru
1613,Ayenia krapovickasii,-57.116659999999996,-25.41666,Paraguay
1614,Ayenia ovata,-99.52166700000001,18.411111,Mexico
1615,Ayenia tomentosa,-59.4167,2.825,Guyana
1616,Ayenia tomentosa,-59.416667000000004,2.816667,Guyana
1617,Ayenia micrantha,-101.203889,17.439444,Mexico
1618,Ayenia filiformis,-106.9634431650457,29.944590560301677,Mexico
1619,Ayenia filiformis,-110.23,31.3439,United States of America
1620,Ayenia glabra,-104.43333299999999,22.366667,Mexico
1621,Ayenia glabra,-104.616667,22.25,Mexico
1622,Ayenia glabra,-104.43333,22.45,Mexico
1623,Ayenia mollis,-98.966667,18.326110999999997,Mexico
1624,Ayenia glabra,-101.525,17.7,Mexico
1625,Ayenia filiformis,-109.28333300000001,27.25,Mexico
